,DeID,Transfer Status,Weighted.Course.Average,Primary Instructor (3rd Week),Enrollment Flag (3rd Week),Enrollment Flag (End of Term),Grade (End of Term)
0,05TMV7T8,False,96.98,"Gillespie, Gary N                  ",Y,Y,A+ 
3,0NTV796A,False,90.5,"Gillespie, Gary N                  ",Y,Y,A  
5,0W62IGWW,False,85.19,"Gillespie, Gary N                  ",Y,Y,A- 
6,0XE9LD9K,False,72.47,"Gillespie, Gary N                  ",Y,Y,B- 
8,1H6IN61T,False,82.34,"Gillespie, Gary N                  ",Y,Y,B+ 
9,1JMPU89A,False,65.53999999999999,"Gillespie, Gary N                  ",Y,Y,C  
10,25JF6B0Z,False,87.31,"Gillespie, Gary N                  ",Y,Y,A  
11,2CDZON7O,False,89.6,"Gillespie, Gary N                  ",Y,Y,A  
12,2HUBSS5B,False,92.58,"Gillespie, Gary N                  ",Y,Y,A  
13,2KZCGJR4,False,79.67,"Gillespie, Gary N                  ",Y,Y,B+ 
14,2RY0Q89X,False,96.84,"Gillespie, Gary N                  ",Y,Y,A+ 
16,348SI940,False,90.92,"Gillespie, Gary N                  ",Y,Y,A  
17,37J2SSVO,False,59.53000000000001,"Gillespie, Gary N                  ",Y,Y,D  
19,3CGOB2B6,False,84.84,"Gillespie, Gary N                  ",Y,Y,B+ 
23,41UJMB2I,False,90.68,"Gillespie, Gary N                  ",Y,Y,A  
24,45FB3QKP,False,69.75,"Gillespie, Gary N                  ",Y,Y,C+ 
25,4CPL38QS,False,71.36,"Gillespie, Gary N                  ",Y,Y,C+ 
26,4O8K90O1,False,79.33,"Gillespie, Gary N                  ",Y,Y,B  
28,52CA6S32,False,91.81,"Gillespie, Gary N                  ",Y,Y,A  
29,54ARLTY1,False,90.7,"Gillespie, Gary N                  ",Y,Y,A  
30,54W77V16,False,90.78,"Gillespie, Gary N                  ",Y,Y,A  
31,55QIRZHX,False,81.87,"Gillespie, Gary N                  ",Y,Y,B  
33,5DYXUX9U,False,97.8,"Gillespie, Gary N                  ",Y,Y,A+ 
35,5IAUHG1Q,False,82.80999999999999,"Gillespie, Gary N                  ",Y,Y,B+ 
36,5NKAH4JP,False,94.89,"Gillespie, Gary N                  ",Y,Y,A  
37,670GYX4X,False,89.34,"Gillespie, Gary N                  ",Y,Y,A  
38,68JXC9HT,False,87.38,"Gillespie, Gary N                  ",Y,Y,Grade Pending
39,6AK1X60N,False,80.1,"Gillespie, Gary N                  ",Y,Y,B  
40,6HMFTTJE,False,67.64,"Gillespie, Gary N                  ",Y,Y,C+ 
42,6QW7KUDB,False,76.92,"Gillespie, Gary N                  ",Y,Y,B  
43,6U9SMNMO,False,74.29,"Gillespie, Gary N                  ",Y,Y,B  
44,6UUUQJRQ,False,85.52,"Gillespie, Gary N                  ",Y,Y,A- 
46,6YDBYADV,False,90.58,"Gillespie, Gary N                  ",Y,Y,A  
47,6ZA206YY,False,49.980000000000004,"Gillespie, Gary N                  ",Y,Y,D  
48,75QMB4RJ,False,75.88000000000001,"Gillespie, Gary N                  ",Y,Y,B  
49,7CLVI3K6,False,86.4,"Gillespie, Gary N                  ",Y,Y,A  
50,7HGBZ6A3,False,96.84,"Gillespie, Gary N                  ",Y,Y,A+ 
51,7PQZN82D,False,72.44,"Gillespie, Gary N                  ",Y,Y,C+ 
53,7YDCD5T3,False,64.77000000000001,"Gillespie, Gary N                  ",Y,Y,C  
54,85AS1XMS,False,92.56,"Gillespie, Gary N                  ",Y,Y,A  
55,88VVF2K1,False,68.11,"Gillespie, Gary N                  ",Y,Y,C  
57,8UY4HT9Q,False,69.23,"Gillespie, Gary N                  ",Y,Y,D  
58,8WP8W3M8,False,54.21,"Gillespie, Gary N                  ",Y,Y,D  
59,8YKAGVE1,False,84.9,"Gillespie, Gary N                  ",Y,Y,A- 
60,9GTWOHV1,False,81.33,"Gillespie, Gary N                  ",Y,Y,C+ 
62,9N44GGPT,False,84.98,"Gillespie, Gary N                  ",Y,Y,B+ 
63,9PQ94E1Q,False,58.64,"Gillespie, Gary N                  ",Y,Y,D  
65,9R3C8UZW,False,84.77,"Gillespie, Gary N                  ",Y,Y,B+ 
66,9UB9QO39,False,95.39,"Gillespie, Gary N                  ",Y,Y,A+ 
67,9XNX51V2,False,90.62,"Gillespie, Gary N                  ",Y,Y,A  
68,A0G846WL,False,85.00999999999999,"Gillespie, Gary N                  ",Y,Y,A- 
69,A3B7VRPZ,False,96.23,"Gillespie, Gary N                  ",Y,Y,A+ 
70,AH0YE617,False,33.82,"Gillespie, Gary N                  ",Y,Y,F  
71,AHSCAH9Y,False,86.35000000000001,"Gillespie, Gary N                  ",Y,Y,A  
72,AIZF8GN3,False,88.83,"Gillespie, Gary N                  ",Y,Y,A  
73,AR5Q9FN4,False,88.35,"Gillespie, Gary N                  ",Y,Y,A  
74,AWQP8HB0,False,15.5,"Gillespie, Gary N                  ",Y,Y,F  
76,B2SIV2AB,False,91.11,"Gillespie, Gary N                  ",Y,Y,A  
77,B43PYI7H,False,97.81,"Gillespie, Gary N                  ",Y,Y,A+ 
78,B68BX3NZ,False,80.9,"Gillespie, Gary N                  ",Y,Y,B  
79,BZNBCIF4,False,75.37,"Gillespie, Gary N                  ",Y,Y,P  
81,CIOQ52M4,False,66.01,"Gillespie, Gary N                  ",Y,Y,C+ 
83,CLHYZQXI,False,96.2,"Gillespie, Gary N                  ",Y,Y,A+ 
84,CO68WRAY,False,82.50999999999999,"Gillespie, Gary N                  ",Y,Y,B+ 
85,CULH828F,False,66.53,"Gillespie, Gary N                  ",Y,Y,C  
86,CWU0VP20,False,61.99,"Gillespie, Gary N                  ",Y,Y,C  
88,D4XCU3KB,False,91.45,"Gillespie, Gary N                  ",Y,Y,A  
89,D9BLPTY4,False,95.5,"Gillespie, Gary N                  ",Y,Y,A+ 
90,DAXF6MPS,False,52.73,"Gillespie, Gary N                  ",Y,Y,D  
91,DC1SEHQ8,False,81.51,"Gillespie, Gary N                  ",Y,Y,B+ 
93,DVDFJF4R,False,89.68,"Gillespie, Gary N                  ",Y,Y,A  
95,E2MHSBFY,False,93.42,"Gillespie, Gary N                  ",Y,Y,A  
97,EAVHVVPD,False,95.82000000000001,"Gillespie, Gary N                  ",Y,Y,A+ 
99,EFXSJJ4C,False,92.4,"Gillespie, Gary N                  ",Y,Y,A  
100,EQAUYKTO,False,81.06,"Gillespie, Gary N                  ",Y,Y,B  
101,ESOSV3Q9,False,83.67999999999999,"Gillespie, Gary N                  ",Y,Y,A- 
102,F19B6TQR,False,93.67999999999999,"Gillespie, Gary N                  ",Y,Y,A  
103,FAEREFGY,False,86.89,"Gillespie, Gary N                  ",Y,Y,A  
104,FFN5W4T9,False,88.38000000000001,"Gillespie, Gary N                  ",Y,Y,A  
105,FJ6AKLC6,False,78.64,"Gillespie, Gary N                  ",Y,Y,B  
107,FOZ7CJ8F,False,48.339999999999996,"Gillespie, Gary N                  ",Y,Y,Grade Pending
108,G396JBRX,False,81.9,"Gillespie, Gary N                  ",Y,Y,B  
112,GFI1N5NJ,False,57.010000000000005,"Gillespie, Gary N                  ",Y,Y,U  
113,H4VYAS7V,False,97.71,"Gillespie, Gary N                  ",Y,Y,A+ 
114,H6CR4T63,False,93.58999999999999,"Gillespie, Gary N                  ",Y,Y,A  
115,HFZ6G95X,False,85.03,"Gillespie, Gary N                  ",Y,Y,A- 
117,HUYJ2Z64,False,51.61,"Gillespie, Gary N                  ",Y,Y,F  
122,I6YMR4N3,False,56.97,"Gillespie, Gary N                  ",Y,Y,D  
127,J08KDV0E,False,76.73,"Gillespie, Gary N                  ",Y,Y,B+ 
128,J5G0WJP3,False,69.83,"Gillespie, Gary N                  ",Y,Y,D  
129,JH6256UQ,False,94.41000000000001,"Gillespie, Gary N                  ",Y,Y,A+ 
131,JJZZVQD2,False,60.84,"Gillespie, Gary N                  ",Y,Y,C  
133,K3JCJ36E,False,91.39,"Gillespie, Gary N                  ",Y,Y,B+ 
134,KB67GK36,False,77.36,"Gillespie, Gary N                  ",Y,Y,B  
135,KIMW6WRX,False,74.6,"Gillespie, Gary N                  ",Y,Y,B- 
136,KQEELFAI,False,95.38,"Gillespie, Gary N                  ",Y,Y,A+ 
138,KWXWY8Y1,False,91.93,"Gillespie, Gary N                  ",Y,Y,A  
139,L40FQQZN,False,88.53999999999999,"Gillespie, Gary N                  ",Y,Y,A  
141,LSPLH1WD,False,21.09,"Gillespie, Gary N                  ",Y,Y,F  
143,LVI2VS58,False,88.68,"Gillespie, Gary N                  ",Y,Y,A  
144,LXGGEWLP,False,92.1,"Gillespie, Gary N                  ",Y,Y,A  
145,LZN1JJ1J,False,91.52,"Gillespie, Gary N                  ",Y,Y,A  
146,M6AEPMRR,False,90.89,"Gillespie, Gary N                  ",Y,Y,A  
147,M81RNKAB,False,96.21,"Gillespie, Gary N                  ",Y,Y,A+ 
148,MDMPVIE0,False,85.61,"Gillespie, Gary N                  ",Y,Y,A- 
149,MHA6AV50,False,72.27,"Gillespie, Gary N                  ",Y,Y,C+ 
150,MISHZ4MU,False,84.11999999999999,"Gillespie, Gary N                  ",Y,Y,Grade Pending
151,N7WQ5VXB,False,90.5,"Gillespie, Gary N                  ",Y,Y,A  
152,NGABZJNW,False,94.78,"Gillespie, Gary N                  ",Y,Y,A  
153,NNZCJHTL,False,82.27,"Gillespie, Gary N                  ",Y,Y,C+ 
154,NTY4WLCI,False,21.759999999999998,"Gillespie, Gary N                  ",Y,Y,F  
155,NTZUPDYT,False,62.45,"Gillespie, Gary N                  ",Y,Y,C  
156,NWQH6U9I,False,92.35,"Gillespie, Gary N                  ",Y,Y,A  
157,NZIDR8BL,False,74.83999999999999,"Gillespie, Gary N                  ",Y,Y,B- 
159,OBP7K2UD,False,98.28,"Gillespie, Gary N                  ",Y,Y,A+ 
160,OC34VZ49,False,64.41,"Gillespie, Gary N                  ",Y,Y,C  
163,OKNES1V5,False,76.31,"Gillespie, Gary N                  ",Y,Y,C  
164,OVK8LMQX,False,88.51,"Gillespie, Gary N                  ",Y,Y,A  
167,PM6VND9G,False,66.86999999999999,"Gillespie, Gary N                  ",Y,Y,C  
170,QUSJDMGM,False,84.04,"Gillespie, Gary N                  ",Y,Y,A- 
171,QVP2AIBU,False,94.02000000000001,"Gillespie, Gary N                  ",Y,Y,A  
174,R50ZEKQP,False,25.4,"Gillespie, Gary N                  ",Y,Y,F  
175,R55S87ZF,False,87.12,"Gillespie, Gary N                  ",Y,Y,B  
176,REZ3M4U9,False,91.86,"Gillespie, Gary N                  ",Y,Y,A  
177,RPO3ROLO,False,94.33,"Gillespie, Gary N                  ",Y,Y,A+ 
178,RS945JJ1,False,86.45,"Gillespie, Gary N                  ",Y,Y,Grade Pending
179,RW9CCT13,False,40.26,"Gillespie, Gary N                  ",Y,Y,F  
180,S0SPZ32D,False,85.8,"Gillespie, Gary N                  ",Y,Y,A- 
181,S5EU75KN,False,91.11,"Gillespie, Gary N                  ",Y,Y,A  
182,S66W2MVT,False,80.36,"Gillespie, Gary N                  ",Y,Y,B  
183,SF8HBUS0,False,20.29,"Gillespie, Gary N                  ",Y,Y,F  
184,SFG7CY2P,False,90.98,"Gillespie, Gary N                  ",Y,Y,A  
188,T305I2KC,False,65.13,"Gillespie, Gary N                  ",Y,Y,C+ 
189,T7HAIDZ1,False,71.78,"Gillespie, Gary N                  ",Y,Y,C+ 
190,THFZICSB,False,92.44,"Gillespie, Gary N                  ",Y,Y,A  
191,TICH0F9P,False,92.14,"Gillespie, Gary N                  ",Y,Y,A  
192,TJ9QJ4TR,False,81.0,"Gillespie, Gary N                  ",Y,Y,B  
193,U6U9L41K,False,93.7,"Gillespie, Gary N                  ",Y,Y,A  
194,UJ69VAGY,False,82.98,"Gillespie, Gary N                  ",Y,Y,A- 
195,UR0S4SRF,False,87.83,"Gillespie, Gary N                  ",Y,Y,A  
196,UTQXMBI6,False,71.72,"Gillespie, Gary N                  ",Y,Y,B- 
197,UZAIY7HS,False,88.48,"Gillespie, Gary N                  ",Y,Y,A  
198,V36PA739,False,68.05,"Gillespie, Gary N                  ",Y,Y,C+ 
199,VG3O092O,False,66.93,"Gillespie, Gary N                  ",Y,Y,F  
200,VH61OQEJ,False,99.00999999999999,"Gillespie, Gary N                  ",Y,Y,A+ 
201,VH9CJJ5N,False,83.84,"Gillespie, Gary N                  ",Y,Y,A- 
203,W6OO1FUQ,False,64.19,"Gillespie, Gary N                  ",Y,Y,C  
204,WAEZO0JC,False,68.14,"Gillespie, Gary N                  ",Y,Y,C  
205,WHP1XRAO,False,75.1,"Gillespie, Gary N                  ",Y,Y,B  
207,WRXQHROG,False,70.62,"Gillespie, Gary N                  ",Y,Y,C+ 
210,X2V86U9W,False,86.78,"Gillespie, Gary N                  ",Y,Y,A  
211,XA4PUGCC,False,85.5,"Gillespie, Gary N                  ",Y,Y,A  
212,XJC1SCD3,False,92.34,"Gillespie, Gary N                  ",Y,Y,A  
213,XOMW2LI9,False,65.03,"Gillespie, Gary N                  ",Y,Y,C+ 
214,XSG9W3YN,False,88.14999999999999,"Gillespie, Gary N                  ",Y,Y,A  
215,XUQ9A89C,False,86.65,"Gillespie, Gary N                  ",Y,Y,A  
216,XY6OHYRU,False,83.62,"Gillespie, Gary N                  ",Y,Y,Grade Pending
218,YBKJHGXV,False,90.98,"Gillespie, Gary N                  ",Y,Y,A  
219,YCD0W2SB,False,71.12,"Gillespie, Gary N                  ",Y,Y,B- 
220,YCMYEOL0,False,85.13,"Gillespie, Gary N                  ",Y,Y,A- 
221,YNVQCW6R,False,94.28999999999999,"Gillespie, Gary N                  ",Y,Y,A  
223,Z74R1BQR,False,69.82000000000001,"Gillespie, Gary N                  ",Y,Y,D  
224,ZN61C26E,False,94.15,"Gillespie, Gary N                  ",Y,Y,A  
225,ZVUT6HP0,False,80.11,"Gillespie, Gary N                  ",Y,Y,S  
